net,length_um
u_decodestage.u_regfile0.register\[15\]\[1\],66.3
u_decodestage.u_regfile0.register\[22\]\[23\],66.1
net358,66.06
u_decodestage.u_regfile0.register\[8\]\[0\],66.02
net262,65.92
u_decodestage.u_regfile0.register\[17\]\[1\],65.85
u_decodestage.u_regfile0.register\[8\]\[14\],65.755
_02868_,65.7
u_decodestage.u_regfile0.register\[31\]\[11\],65.68
u_decodestage.u_regfile0.register\[17\]\[11\],65.66
u_decodestage.u_regfile0.register\[20\]\[19\],65.66
_03601_,65.54
_02389_,65.48
u_decodestage.u_regfile0.register\[11\]\[12\],65.35
_04686_,65.32
u_decodestage.u_regfile0.register\[7\]\[11\],65.2
u_decodestage.u_regfile0.register\[15\]\[19\],65.16
net414,65.035
_01346_,64.86
net63,64.82
u_decodestage.u_regfile0.register\[12\]\[0\],64.78
u_decodestage.u_regfile0.register\[16\]\[19\],64.605
u_decodestage.u_regfile0.register\[9\]\[3\],64.58
u_decodestage.pc_address\[19\],64.54
u_decodestage.u_regfile0.register\[27\]\[28\],64.46
u_decodestage.u_regfile0.register\[8\]\[12\],64.42
u_decodestage.u_regfile0.register\[9\]\[23\],64.22
u_decodestage.u_regfile0.register\[16\]\[0\],64.18
_03989_,64.16
u_decodestage.u_regfile0.register\[9\]\[30\],64.065
_01783_,63.96
_05349_,63.96
u_decodestage.u_regfile0.register\[31\]\[2\],63.92
u_decodestage.u_regfile0.register\[9\]\[6\],63.9
u_decodestage.u_regfile0.register\[10\]\[19\],63.885
net242,63.74
net248,63.7
u_decodestage.u_regfile0.register\[4\]\[0\],63.48
u_decodestage.u_regfile0.register\[16\]\[6\],63.46
u_decodestage.u_regfile0.register\[12\]\[14\],63.45
u_decodestage.u_regfile0.register\[12\]\[31\],63.435
u_decodestage.u_regfile0.register\[19\]\[27\],63.4
u_decodestage.u_regfile0.register\[16\]\[9\],63.305
u_decodestage.u_regfile0.register\[16\]\[14\],63.26
_03649_,63.22
u_decodestage.u_regfile0.register\[23\]\[3\],63.16
_03580_,63.11
u_decodestage.u_regfile0.register\[12\]\[10\],63.055
_03999_,62.91
u_decodestage.u_regfile0.register\[8\]\[26\],62.865
net398,62.86
net258,62.81
u_decodestage.u_regfile0.register\[11\]\[19\],62.8
u_decodestage.u_regfile0.register\[20\]\[5\],62.8
u_decodestage.u_regfile0.register\[17\]\[16\],62.78
u_decodestage.u_regfile0.register\[20\]\[4\],62.78
u_decodestage.u_regfile0.register\[9\]\[11\],62.675
u_decodestage.u_regfile0.register\[13\]\[0\],62.66
_02869_,62.6
u_decodestage.u_regfile0.register\[14\]\[26\],62.58
u_decodestage.u_regfile0.register\[5\]\[3\],62.405
net153,62.23
u_decodestage.u_regfile0.register\[2\]\[6\],62.19
net371,61.97
u_decodestage.u_regfile0.register\[11\]\[14\],61.94
_01332_,61.92
u_decodestage.u_regfile0.register\[12\]\[6\],61.705
_03748_,61.68
_03650_,61.6
_03169_,61.555
net396,61.44
u_decodestage.u_regfile0.register\[16\]\[8\],61.1
u_decodestage.u_regfile0.register\[10\]\[0\],61.04
u_decodestage.u_regfile0.register\[16\]\[27\],61
_02847_,60.97
u_decodestage.u_regfile0.register\[27\]\[5\],60.965
_03637_,60.96
u_decodestage.u_regfile0.register\[29\]\[28\],60.92
u_decodestage.u_regfile0.register\[20\]\[27\],60.88
u_decodestage.alu_control\[1\],60.78
u_decodestage.u_regfile0.register\[7\]\[16\],60.76
net318,60.75
_03558_,60.74
_03620_,60.685
net282,60.675
_04687_,60.66
u_decodestage.u_regfile0.register\[23\]\[4\],60.655
u_decodestage.u_regfile0.register\[17\]\[18\],60.62
_03412_,60.43
u_decodestage.u_regfile0.register\[13\]\[6\],60.4
u_decodestage.u_regfile0.register\[5\]\[29\],60.335
u_decodestage.u_regfile0.register\[24\]\[27\],60.29
u_decodestage.u_regfile0.register\[9\]\[19\],60.16
_03666_,60.1
u_decodestage.u_regfile0.register\[13\]\[23\],60.1
_01495_,59.92
net229,59.82
u_decodestage.instruction\[11\],59.8
u_decodestage.u_regfile0.register\[8\]\[6\],59.77
u_decodestage.u_regfile0.register\[18\]\[14\],59.74
net207,59.62
u_decodestage.u_regfile0.register\[12\]\[12\],59.565
_03907_,59.49
u_decodestage.u_regfile0.register\[19\]\[16\],59.46
_03184_,59.44
u_decodestage.u_regfile0.register\[23\]\[19\],59.32
u_decodestage.u_regfile0.register\[10\]\[26\],59.29
u_decodestage.u_regfile0.register\[6\]\[16\],59.25
u_decodestage.u_regfile0.register\[2\]\[20\],58.84
net62,58.68
u_decodestage.u_regfile0.register\[5\]\[17\],58.665
_03234_,58.62
u_decodestage.u_regfile0.register\[4\]\[11\],58.525
net214,58.485
u_decodestage.u_regfile0.register\[15\]\[29\],58.43
net272,58.43
_05374_,58.4
u_decodestage.u_regfile0.register\[26\]\[14\],58.34
net363,58.32
_04942_,58.28
u_decodestage.u_regfile0.register\[20\]\[23\],58.16
u_decodestage.u_regfile0.register\[22\]\[27\],58.14
_03099_,58.12
u_decodestage.u_regfile0.register\[20\]\[6\],57.86
_03424_,57.655
u_decodestage.u_regfile0.register\[11\]\[10\],57.645
u_decodestage.u_regfile0.register\[16\]\[26\],57.64
u_decodestage.u_regfile0.register\[31\]\[20\],57.52
net333,57.5
u_decodestage.u_regfile0.register\[6\]\[6\],57.435
_02703_,57.4
u_decodestage.u_regfile0.register\[20\]\[28\],57.34
net85,57.3
_03804_,57.28
u_fetchpipeline.pre_address_pc\[8\],57.22
u_decodestage.u_regfile0.register\[25\]\[11\],57.205
u_decodestage.u_regfile0.register\[9\]\[29\],57.16
_03598_,57.075
u_decodestage.u_regfile0.register\[17\]\[30\],57.02
u_decodestage.u_regfile0.register\[14\]\[27\],57
u_decodestage.u_regfile0.register\[4\]\[17\],56.99
_04429_,56.94
_01335_,56.88
u_decodestage.u_regfile0.register\[5\]\[28\],56.82
u_decodestage.u_regfile0.register\[10\]\[23\],56.76
_01214_,56.64
u_decodestage.u_regfile0.register\[28\]\[25\],56.555
u_decodestage.u_regfile0.register\[5\]\[20\],56.485
u_decodestage.u_regfile0.register\[18\]\[18\],56.46
u_decodestage.u_regfile0.register\[14\]\[11\],56.355
u_decodestage.u_regfile0.register\[23\]\[18\],56.345
_04724_,56.28
u_decodestage.u_regfile0.register\[2\]\[17\],56.24
u_decodestage.u_regfile0.register\[3\]\[9\],56.2
_03457_,56.105
u_decodestage.u_regfile0.register\[30\]\[17\],56.055
u_decodestage.u_regfile0.register\[30\]\[20\],56.02
u_decodestage.u_regfile0.register\[7\]\[28\],55.9
_03199_,55.87
u_decodestage.u_regfile0.register\[7\]\[6\],55.795
u_decodestage.u_regfile0.register\[25\]\[25\],55.785
u_decodestage.u_regfile0.register\[11\]\[3\],55.78
u_decodestage.u_regfile0.register\[26\]\[10\],55.74
u_decodestage.u_regfile0.register\[31\]\[1\],55.74
_04030_,55.7
_03515_,55.66
net212,55.66
u_decodestage.u_regfile0.register\[5\]\[1\],55.64
u_decodestage.u_regfile0.register\[18\]\[4\],55.45
_02730_,55.4
net384,55.31
u_decodestage.u_regfile0.register\[23\]\[9\],55.225
u_decodestage.u_regfile0.register\[4\]\[1\],55.14
_03923_,55.1
net314,55.07
net291,55
_03657_,54.98
u_decodestage.u_regfile0.register\[21\]\[12\],54.96
u_decodestage.u_regfile0.register\[13\]\[1\],54.78
u_decodestage.u_regfile0.register\[22\]\[5\],54.755
u_decodestage.u_regfile0.register\[24\]\[18\],54.68
_02571_,54.58
_03307_,54.51
_02452_,54.44
u_decodestage.u_regfile0.register\[12\]\[23\],54.345
net296,54.34
_03311_,54.3
_04020_,54.28
u_decodestage.u_regfile0.register\[20\]\[17\],54.12
_03416_,54.04
u_decodestage.u_regfile0.register\[10\]\[29\],54.02
u_fetchpipeline.pre_address_pc\[30\],54.02
u_decodestage.u_regfile0.register\[22\]\[8\],53.98
u_decodestage.u_regfile0.register\[19\]\[1\],53.97
u_decodestage.u_regfile0.register\[26\]\[19\],53.82
net294,53.82
_02725_,53.8
_03953_,53.8
u_decodestage.u_regfile0.register\[27\]\[25\],53.8
_03581_,53.72
u_decodestage.u_regfile0.register\[19\]\[18\],53.71
u_decodestage.u_regfile0.register\[20\]\[11\],53.69
u_decodestage.i_immo\[0\],53.68
u_decodestage.u_regfile0.register\[5\]\[0\],53.68
net342,53.68
_03316_,53.65
_02559_,53.64
u_decodestage.u_regfile0.register\[30\]\[28\],53.42
_01397_,53.38
u_decodestage.alu_control\[0\],53.38
net142,53.34
_04797_,53.22
u_decodestage.u_regfile0.register\[3\]\[16\],53.22
u_decodestage.u_regfile0.register\[25\]\[23\],53.18
u_decodestage.u_regfile0.register\[4\]\[28\],53.18
net250,53.17
u_decodestage.u_regfile0.register\[23\]\[26\],53.105
u_decodestage.u_regfile0.register\[5\]\[6\],53.1
u_decodestage.u_regfile0.register\[1\]\[16\],53.04
u_fetchpipeline.pre_address_pc\[29\],53.02
_03443_,52.965
u_decodestage.u_regfile0.register\[21\]\[5\],52.96
_03987_,52.88
u_decodestage.u_regfile0.register\[9\]\[27\],52.88
net348,52.81
_01550_,52.79
u_decodestage.u_regfile0.register\[15\]\[11\],52.79
u_decodestage.u_regfile0.register\[24\]\[11\],52.78
_02307_,52.7
u_decodestage.u_regfile0.register\[8\]\[4\],52.7
u_decodestage.u_regfile0.register\[27\]\[20\],52.62
net210,52.61
u_decodestage.instruction\[7\],52.58
u_decodestage.u_regfile0.register\[3\]\[31\],52.44
u_decodestage.u_regfile0.register\[20\]\[10\],52.42
u_decodestage.u_regfile0.register\[26\]\[26\],52.42
u_decodestage.u_regfile0.register\[15\]\[23\],52.26
u_fetchpipeline.pre_address_pc\[7\],52.24
net149,52.2
u_decodestage.u_regfile0.register\[22\]\[19\],52.16
u_decodestage.u_regfile0.register\[11\]\[9\],52.12
_03688_,52.09
u_decodestage.u_regfile0.register\[26\]\[4\],52.02
u_decodestage.u_regfile0.register\[22\]\[22\],51.92
_04470_,51.895
u_decodestage.u_regfile0.register\[24\]\[12\],51.86
u_decodestage.u_regfile0.register\[23\]\[5\],51.845
u_decodestage.i_immo\[1\],51.8
u_decodestage.u_regfile0.register\[17\]\[29\],51.765
_02897_,51.72
_01230_,51.67
_03245_,51.66
_03981_,51.62
u_decodestage.u_regfile0.register\[26\]\[29\],51.58
u_decodestage.instruction\[15\],51.54
u_decodestage.u_regfile0.register\[5\]\[2\],51.54
_02943_,51.46
_02619_,51.43
u_decodestage.u_regfile0.register\[2\]\[11\],51.175
_04620_,51.14
u_decodestage.u_regfile0.register\[14\]\[9\],51.14
_03643_,51.12
u_decodestage.u_regfile0.register\[18\]\[29\],51.12
u_decodestage.u_regfile0.register\[13\]\[29\],51.1
u_decodestage.u_regfile0.register\[14\]\[8\],51.1
u_decodestage.u_regfile0.register\[25\]\[4\],51.08
_03320_,51.075
u_decodestage.u_regfile0.register\[28\]\[3\],50.95
_04621_,50.93
u_decodestage.u_regfile0.register\[8\]\[1\],50.93
_03662_,50.9
u_decodestage.u_regfile0.register\[9\]\[1\],50.9
u_decodestage.u_regfile0.register\[26\]\[18\],50.86
u_decodestage.u_regfile0.register\[15\]\[7\],50.85
_01232_,50.84
_04003_,50.8
_03439_,50.78
u_decodestage.u_regfile0.register\[3\]\[6\],50.72
u_decodestage.u_regfile0.register\[11\]\[1\],50.68
_03681_,50.64
_03381_,50.62
_03936_,50.58
_01451_,50.5
u_fetchpipeline.pre_address_pc\[6\],50.5
u_decodestage.u_regfile0.register\[10\]\[31\],50.46
_03126_,50.44
net308,50.44
net144,50.4
_01370_,50.34
u_decodestage.u_regfile0.register\[1\]\[0\],50.32
u_decodestage.u_regfile0.register\[30\]\[25\],50.2
u_decodestage.u_regfile0.register\[8\]\[9\],50.19
_02518_,50.08
net150,49.9
_01260_,49.82
_03257_,49.78
u_decodestage.u_regfile0.register\[17\]\[28\],49.745
_03693_,49.74
u_decodestage.u_regfile0.register\[1\]\[9\],49.705
u_decodestage.u_regfile0.register\[22\]\[21\],49.7
u_decodestage.u_regfile0.register\[2\]\[28\],49.51
_02696_,49.48
u_decodestage.u_regfile0.register\[2\]\[9\],49.41
_03221_,49.4
_03675_,49.3
u_decodestage.u_regfile0.register\[14\]\[23\],49.3
u_decodestage.u_regfile0.register\[23\]\[23\],49.28
u_decodestage.u_regfile0.register\[11\]\[23\],49.12
u_decodestage.u_regfile0.register\[4\]\[20\],49.105
u_decodestage.u_regfile0.register\[8\]\[23\],49.08
u_decodestage.u_regfile0.register\[4\]\[16\],49.06
_03689_,49.045
u_decodestage.u_regfile0.register\[19\]\[8\],49.02
u_decodestage.u_regfile0.register\[8\]\[10\],48.83
_02477_,48.8
u_decodestage.u_regfile0.register\[18\]\[10\],48.74
_02799_,48.68
u_decodestage.u_regfile0.register\[23\]\[11\],48.68
_03945_,48.62
_03634_,48.56
u_decodestage.i_immo\[9\],48.5
_04101_,48.44
u_decodestage.u_regfile0.register\[14\]\[29\],48.405
u_decodestage.u_regfile0.register\[27\]\[19\],48.4
_03487_,48.39
u_decodestage.u_regfile0.register\[22\]\[4\],48.36
u_decodestage.u_regfile0.register\[18\]\[12\],48.32
_03050_,48.24
u_decodestage.u_regfile0.register\[19\]\[12\],48.23
u_decodestage.u_regfile0.register\[5\]\[24\],48.02
_02973_,48
_03286_,47.98
u_decodestage.u_regfile0.register\[25\]\[19\],47.96
u_decodestage.u_regfile0.register\[16\]\[30\],47.87
net257,47.86
_04066_,47.82
u_decodestage.u_regfile0.register\[31\]\[30\],47.76
_00085_,47.66
u_decodestage.u_regfile0.register\[9\]\[31\],47.64
u_decodestage.u_regfile0.register\[7\]\[31\],47.58
net373,47.58
u_decodestage.u_regfile0.register\[21\]\[27\],47.475
u_decodestage.u_regfile0.register\[30\]\[16\],47.305
u_decodestage.u_regfile0.register\[17\]\[14\],47.18
u_decodestage.u_regfile0.register\[5\]\[31\],47.1
_04326_,47.07
u_decodestage.u_regfile0.register\[12\]\[30\],47.04
u_fetchpipeline.pre_address_pc\[22\],47.02
_02776_,46.955
net303,46.89
_01307_,46.795
_01242_,46.78
u_decodestage.u_regfile0.register\[20\]\[16\],46.695
_03888_,46.66
u_decodestage.u_regfile0.register\[15\]\[27\],46.66
u_decodestage.u_regfile0.register\[2\]\[29\],46.62
_04611_,46.58
u_decodestage.u_regfile0.register\[19\]\[11\],46.565
_03156_,46.56
_04324_,46.56
u_decodestage.u_regfile0.register\[19\]\[24\],46.545
net321,46.47
u_memorystage.u_wrap_mem0.wrap_load_out\[7\],46.4
u_decodestage.u_regfile0.register\[28\]\[16\],46.38
_03152_,46.32
u_decodestage.u_regfile0.register\[19\]\[10\],46.26
_03485_,46.24
u_decodestage.u_regfile0.register\[11\]\[24\],46.24
u_decodestage.u_regfile0.register\[26\]\[7\],46.24
_04406_,46.22
u_decodestage.u_regfile0.register\[20\]\[1\],45.96
u_decodestage.u_regfile0.register\[28\]\[24\],45.96
u_decodestage.u_regfile0.register\[9\]\[8\],45.875
_03314_,45.82
u_decodestage.u_regfile0.register\[1\]\[1\],45.82
net261,45.68
u_decodestage.u_regfile0.register\[2\]\[5\],45.67
u_decodestage.u_regfile0.register\[31\]\[0\],45.56
_04943_,45.54
u_decodestage.u_regfile0.register\[24\]\[17\],45.54
net351,45.5
u_decodestage.u_regfile0.register\[27\]\[18\],45.46
u_decodestage.u_regfile0.register\[28\]\[2\],45.44
u_decodestage.u_regfile0.register\[22\]\[12\],45.42
_01765_,45.38
u_decodestage.u_regfile0.register\[27\]\[7\],45.36
u_decodestage.u_regfile0.register\[1\]\[17\],45.32
u_decodestage.i_immo\[6\],45.305
u_decodestage.u_regfile0.register\[21\]\[2\],45.26
u_decodestage.u_regfile0.register\[4\]\[6\],45.245
u_fetchpipeline.pre_address_pc\[24\],45.24
_02473_,45.16
u_decodestage.u_regfile0.register\[21\]\[19\],45.15
_01252_,45.13
u_decodestage.u_regfile0.register\[7\]\[9\],45.045
u_decodestage.u_regfile0.register\[3\]\[3\],45.04
u_decodestage.u_regfile0.register\[13\]\[9\],44.98
u_decodestage.u_regfile0.register\[25\]\[8\],44.945
_02221_,44.76
u_decodestage.u_regfile0.register\[4\]\[2\],44.76
u_decodestage.u_regfile0.register\[9\]\[26\],44.76
_01213_,44.74
_04430_,44.72
u_decodestage.u_regfile0.register\[30\]\[24\],44.72
net335,44.68
net148,44.675
_02419_,44.55
u_decodestage.u_regfile0.register\[31\]\[3\],44.52
u_decodestage.u_regfile0.register\[24\]\[5\],44.48
u_decodestage.u_regfile0.register\[29\]\[11\],44.465
u_decodestage.u_regfile0.register\[1\]\[6\],44.42
_02363_,44.3
_03167_,44.3
u_decodestage.u_regfile0.register\[22\]\[14\],44.22
u_decodestage.u_regfile0.register\[15\]\[28\],44.18
u_decodestage.u_regfile0.register\[7\]\[14\],44.16
u_decodestage.u_regfile0.register\[8\]\[27\],44.14
_02873_,44.04
_02644_,44.005
u_decodestage.u_regfile0.register\[13\]\[27\],44.005
net288,43.96
_03635_,43.9
u_decodestage.u_regfile0.register\[1\]\[11\],43.84
u_decodestage.u_regfile0.register\[12\]\[27\],43.805
_03765_,43.74
u_decodestage.u_regfile0.register\[13\]\[4\],43.69
u_decodestage.instruction\[16\],43.68
u_decodestage.u_regfile0.register\[20\]\[14\],43.595
_01699_,43.56
u_decodestage.u_regfile0.register\[23\]\[22\],43.55
u_decodestage.u_regfile0.register\[25\]\[28\],43.485
u_fetchpipeline.pre_address_pc\[23\],43.46
_02533_,43.4
u_decodestage.u_regfile0.register\[25\]\[12\],43.38
_03578_,43.32
_03600_,43.32
_04250_,43.32
u_decodestage.u_regfile0.register\[18\]\[19\],43.32
u_fetchpipeline.pre_address_pc\[28\],43.28
_03304_,43.22
_03384_,43.2
u_decodestage.u_regfile0.register\[19\]\[7\],43.18
_03153_,43.14
u_decodestage.u_regfile0.register\[16\]\[11\],43.1
_03406_,43.07
u_decodestage.u_regfile0.register\[30\]\[7\],43
_02387_,42.99
u_decodestage.u_regfile0.register\[3\]\[17\],42.965
u_decodestage.u_regfile0.register\[19\]\[6\],42.885
u_decodestage.u_regfile0.register\[3\]\[20\],42.88
u_decodestage.u_regfile0.register\[25\]\[9\],42.84
u_decodestage.u_regfile0.register\[28\]\[23\],42.78
u_decodestage.u_regfile0.register\[9\]\[13\],42.725
u_decodestage.u_regfile0.register\[9\]\[15\],42.705
_01343_,42.7
u_decodestage.u_regfile0.register\[3\]\[7\],42.66
u_decodestage.u_regfile0.register\[23\]\[15\],42.625
_02748_,42.62
net367,42.47
u_decodestage.u_regfile0.register\[9\]\[5\],42.225
u_decodestage.u_regfile0.register\[21\]\[18\],42.16
u_decodestage.u_regfile0.register\[12\]\[26\],42.14
u_decodestage.u_regfile0.register\[29\]\[31\],42.13
_01212_,42.08
u_decodestage.u_regfile0.register\[10\]\[9\],41.98
u_decodestage.u_regfile0.register\[26\]\[6\],41.98
u_decodestage.u_regfile0.register\[3\]\[1\],41.98
u_decodestage.u_regfile0.register\[26\]\[16\],41.94
u_decodestage.u_regfile0.register\[20\]\[0\],41.9
net400,41.86
_01366_,41.78
u_decodestage.u_regfile0.register\[15\]\[26\],41.78
u_decodestage.u_regfile0.register\[22\]\[9\],41.765
u_decodestage.u_regfile0.register\[3\]\[23\],41.76
u_decodestage.u_regfile0.register\[24\]\[28\],41.74
u_decodestage.u_regfile0.register\[5\]\[11\],41.7
_03281_,41.68
u_decodestage.u_regfile0.register\[15\]\[22\],41.66
_04685_,41.6
u_decodestage.u_regfile0.register\[1\]\[3\],41.54
net270,41.53
u_decodestage.u_regfile0.register\[8\]\[7\],41.48
u_decodestage.u_regfile0.register\[1\]\[2\],41.42
u_decodestage.u_regfile0.register\[22\]\[18\],41.38
_02450_,41.32
_03417_,41.32
_04684_,41.32
_04646_,41.165
u_decodestage.u_regfile0.register\[4\]\[30\],41.025
net337,41.02
u_decodestage.u_regfile0.register\[19\]\[14\],40.98
_03579_,40.94
u_decodestage.u_regfile0.register\[8\]\[29\],40.92
u_decodestage.u_regfile0.register\[16\]\[5\],40.855
u_decodestage.u_regfile0.register\[23\]\[2\],40.84
net328,40.81
u_decodestage.u_regfile0.register\[17\]\[9\],40.785
u_decodestage.u_regfile0.register\[6\]\[0\],40.75
u_decodestage.u_regfile0.register\[10\]\[5\],40.74
net410,40.72
u_decodestage.pc_address\[14\],40.68
net151,40.6
u_decodestage.u_regfile0.register\[21\]\[11\],40.565
_03535_,40.52
u_decodestage.u_regfile0.register\[13\]\[11\],40.52
u_decodestage.u_regfile0.register\[26\]\[31\],40.5
u_decodestage.u_regfile0.register\[4\]\[31\],40.48
u_decodestage.u_regfile0.register\[21\]\[4\],40.445
u_decodestage.u_regfile0.register\[4\]\[14\],40.44
u_decodestage.u_regfile0.register\[2\]\[19\],40.43
u_decodestage.u_regfile0.register\[2\]\[10\],40.4
u_decodestage.u_regfile0.register\[31\]\[29\],40.34
_02968_,40.3
u_decodestage.u_regfile0.register\[13\]\[25\],40.3
_03716_,40.24
u_decodestage.u_regfile0.register\[28\]\[31\],40.205
u_decodestage.u_regfile0.register\[1\]\[20\],40.18
u_decodestage.u_regfile0.register\[21\]\[14\],40.16
u_decodestage.u_regfile0.register\[23\]\[21\],40.16
u_decodestage.u_regfile0.register\[23\]\[7\],40.14
u_decodestage.u_regfile0.register\[29\]\[16\],40.14
_01246_,40.08
_03421_,40.04
u_decodestage.u_regfile0.register\[26\]\[11\],40.04
_03243_,39.96
u_decodestage.u_regfile0.register\[20\]\[12\],39.96
u_decodestage.u_regfile0.register\[9\]\[9\],39.96
_02820_,39.94
u_decodestage.u_regfile0.register\[10\]\[20\],39.91
_01743_,39.88
u_decodestage.u_regfile0.register\[7\]\[29\],39.86
u_decodestage.u_regfile0.register\[18\]\[11\],39.845
_01763_,39.84
u_decodestage.u_regfile0.register\[18\]\[17\],39.78
_02672_,39.74
_03538_,39.69
u_decodestage.u_regfile0.register\[9\]\[20\],39.68
u_decodestage.u_regfile0.register\[8\]\[28\],39.65
_04664_,39.64
_03590_,39.54
u_decodestage.u_regfile0.register\[31\]\[28\],39.5
u_decodestage.u_regfile0.register\[28\]\[9\],39.42
u_decodestage.u_regfile0.register\[25\]\[7\],39.405
u_decodestage.u_regfile0.register\[10\]\[27\],39.4
u_decodestage.u_regfile0.register\[12\]\[25\],39.4
u_decodestage.u_regfile0.register\[12\]\[8\],39.38
u_decodestage.u_regfile0.register\[10\]\[16\],39.36
_02949_,39.24
_03975_,39.24
u_memorystage.u_wrap_mem0.wrap_load_out\[22\],39.24
_02945_,39.12
net310,39.12
u_decodestage.u_regfile0.register\[2\]\[31\],39
_03673_,38.94
u_decodestage.u_regfile0.register\[6\]\[19\],38.92
u_decodestage.u_regfile0.register\[6\]\[1\],38.9
_01663_,38.88
u_decodestage.u_regfile0.register\[25\]\[29\],38.88
_02645_,38.87
u_decodestage.u_regfile0.register\[25\]\[20\],38.86
u_decodestage.u_regfile0.register\[17\]\[17\],38.76
u_decodestage.u_regfile0.register\[3\]\[14\],38.74
u_decodestage.u_regfile0.register\[13\]\[28\],38.66
net156,38.66
u_decodestage.u_regfile0.register\[10\]\[8\],38.6
_03400_,38.54
u_decodestage.u_regfile0.register\[27\]\[10\],38.53
u_decodestage.u_regfile0.register\[13\]\[26\],38.52
u_decodestage.u_regfile0.register\[2\]\[30\],38.52
_03733_,38.5
u_decodestage.u_regfile0.register\[20\]\[18\],38.5
u_decodestage.u_regfile0.register\[22\]\[31\],38.48
_03155_,38.44
u_decodestage.u_regfile0.register\[18\]\[23\],38.44
u_decodestage.u_regfile0.register\[26\]\[27\],38.44
net141,38.4
u_decodestage.u_regfile0.register\[4\]\[9\],38.39
u_decodestage.u_regfile0.register\[30\]\[11\],38.34
_01661_,38.3
_03437_,38.26
_03409_,38.24
u_decodestage.u_regfile0.register\[30\]\[12\],38.22
net300,38.21
_03909_,38.16
u_decodestage.u_regfile0.register\[27\]\[31\],38.16
u_decodestage.u_regfile0.register\[27\]\[6\],38.12
u_decodestage.u_regfile0.register\[25\]\[14\],38.1
u_decodestage.u_regfile0.register\[10\]\[21\],38.08
u_decodestage.u_regfile0.register\[9\]\[4\],38.06
u_decodestage.u_regfile0.register\[11\]\[8\],38.04
u_decodestage.u_regfile0.register\[20\]\[31\],38.04
u_decodestage.u_regfile0.register\[2\]\[23\],38.015
_03071_,38
_02744_,37.86
_03455_,37.84
_03714_,37.8
u_decodestage.u_regfile0.register\[17\]\[24\],37.78
u_decodestage.u_regfile0.register\[2\]\[3\],37.775
u_decodestage.u_regfile0.register\[20\]\[9\],37.745
_03559_,37.68
_03530_,37.63
u_decodestage.u_regfile0.register\[6\]\[11\],37.54
u_decodestage.u_regfile0.register\[14\]\[28\],37.52
u_decodestage.u_regfile0.register\[8\]\[11\],37.52
_03379_,37.38
u_decodestage.u_regfile0.register\[29\]\[10\],37.32
u_decodestage.u_regfile0.register\[22\]\[10\],37.3
u_decodestage.u_regfile0.register\[25\]\[2\],37.29
u_decodestage.u_regfile0.register\[14\]\[4\],37.28
_02181_,37.16
u_decodestage.u_regfile0.register\[7\]\[21\],37.145
_01502_,37.14
u_decodestage.u_regfile0.register\[9\]\[24\],37.14
u_decodestage.u_regfile0.register\[2\]\[15\],37.105
_03537_,37.1
u_decodestage.u_regfile0.register\[16\]\[4\],37.1
u_decodestage.u_regfile0.register\[6\]\[24\],37.08
u_decodestage.u_regfile0.register\[22\]\[0\],37.06
u_decodestage.u_regfile0.register\[17\]\[20\],37.04
u_decodestage.u_regfile0.register\[7\]\[20\],37.04
_01484_,36.98
u_decodestage.u_regfile0.register\[23\]\[28\],36.9
_04390_,36.86
u_decodestage.u_regfile0.register\[1\]\[4\],36.86
u_decodestage.u_regfile0.register\[24\]\[22\],36.765
u_decodestage.u_regfile0.register\[31\]\[12\],36.7
u_decodestage.u_regfile0.register\[13\]\[30\],36.655
u_decodestage.u_regfile0.register\[14\]\[31\],36.6
_02690_,36.54
u_decodestage.u_regfile0.register\[25\]\[5\],36.54
u_decodestage.u_regfile0.register\[14\]\[16\],36.525
u_decodestage.u_regfile0.register\[21\]\[1\],36.5
_02759_,36.48
net397,36.48
u_decodestage.u_regfile0.register\[4\]\[24\],36.425
u_decodestage.instruction\[17\],36.42
u_decodestage.u_regfile0.register\[22\]\[17\],36.42
u_decodestage.u_regfile0.register\[22\]\[16\],36.405
u_decodestage.u_regfile0.register\[24\]\[16\],36.4
_03759_,36.36
u_decodestage.u_regfile0.register\[2\]\[1\],36.36
net383,36.35
_02087_,36.3
u_decodestage.u_regfile0.register\[28\]\[18\],36.24
u_decodestage.u_regfile0.register\[5\]\[15\],36.24
u_decodestage.u_regfile0.register\[10\]\[25\],36.235
_03229_,36.2
u_decodestage.u_regfile0.register\[5\]\[19\],36.145
_02310_,36.1
_01597_,36.08
u_decodestage.u_regfile0.register\[27\]\[2\],36.06
_01216_,36.05
_02907_,36
net403,35.96
_00014_,35.94
u_decodestage.u_regfile0.register\[3\]\[11\],35.94
u_decodestage.u_regfile0.register\[25\]\[18\],35.86
_03701_,35.82
u_decodestage.u_regfile0.register\[29\]\[0\],35.78
u_decodestage.u_regfile0.register\[12\]\[11\],35.74
u_fetchpipeline.pre_address_pc\[5\],35.72
u_decodestage.u_regfile0.register\[19\]\[19\],35.705
u_decodestage.u_regfile0.register\[8\]\[22\],35.7
_03800_,35.66
u_decodestage.u_regfile0.register\[24\]\[9\],35.66
_01392_,35.62
u_decodestage.u_regfile0.register\[26\]\[12\],35.62
_04650_,35.6
u_decodestage.pc_address\[17\],35.58
u_decodestage.u_regfile0.register\[27\]\[0\],35.58
_01293_,35.52
_04368_,35.5
_04300_,35.48
u_decodestage.u_regfile0.register\[31\]\[9\],35.46
